file,line,tag,age_days,author,summary
file,line,tag,,(unknown),summary
src/app/api/family-hub/route.ts,344,TODO,10,legacyguard,Implement actual email sending logic
src/features/will-generator/components/CountrySelector.tsx,42,TODO,10,legacyguard,Replace with real API call when available
src/features/will-generator/components/WillGenerator.tsx,196,TODO,10,legacyguard,Call API to generate will with country code and language code
src/features/will-generator/components/WillGenerator.tsx,204,TODO,0,legacyguard,Fix missing translation key - wills:gentle.addLovedOnes
src/features/will-generator/components/WillGenerator.tsx,208,TODO,0,legacyguard,Fix missing translation key - wills:gentle.nudgeAllocate
src/features/dashboard/components/Dashboard.tsx,237,TODO,3,legacyguard,Update backend with onboarding tasks
src/features/dashboard/components/ProfessionalDashboardIntegration.tsx,127,TODO,0,legacyguard,Fix missing translation key - dashboard-main:errors.initializationFailed
src/features/dashboard/components/ProfessionalDashboardIntegration.tsx,180,TODO,0,legacyguard,Fix missing translation key - dashboard-main:tasks.criticalGap
src/features/dashboard/components/ProfessionalDashboardIntegration.tsx,298,TODO,0,legacyguard,Fix missing translation key - dashboard-main:tasks.reviewDocument
src/features/dashboard/components/ProfessionalDashboardIntegration.tsx,301,TODO,0,legacyguard,Fix missing translation key - dashboard-main:tasks.documentReviewDesc
src/features/dashboard/components/ProfessionalDashboardIntegration.tsx,392,TODO,0,legacyguard,Fix missing translation key - dashboard-main:common.backToDashboard
src/features/dashboard/components/ProfessionalDashboardIntegration.tsx,438,TODO,0,legacyguard,Fix missing translation key - dashboard-review:annualReview.reminderTitle
src/features/dashboard/components/ProfessionalDashboardIntegration.tsx,443,TODO,0,legacyguard,Fix missing translation key - dashboard-review:annualReview.reminderDescription
src/features/dashboard/components/ProfessionalDashboardIntegration.tsx,472,TODO,0,legacyguard,Fix missing translation key - dashboard-main:complexProfile.title
src/features/dashboard/components/ProfessionalDashboardIntegration.tsx,477,TODO,0,legacyguard,Fix missing translation key - dashboard-main:complexProfile.description
src/features/dashboard/components/ProfessionalDashboardIntegration.tsx,489,TODO,0,legacyguard,Fix missing translation key - dashboard-main:complexProfile.getHelp
src/features/assets-vault/components/VaultDashboard.tsx,126,TODO,10,legacyguard,Implement view asset details
src/utils/supabaseWithRetry.ts,183,TODO,10,legacyguard,Implementovať chunked upload pre veľké súbory
src/components/landing/RespectfulLanding.tsx,86,TODO,0,legacyguard,Fix missing translation key - onboarding:respectful.landing.trustSignals.professionalSupport
src/components/landing/RespectfulLanding.tsx,101,TODO,0,legacyguard,Fix missing translation key - onboarding:respectful.landing.understanding.title
src/components/landing/RespectfulLanding.tsx,106,TODO,0,legacyguard,Fix missing translation key - onboarding:respectful.landing.understanding.subtitle
src/components/landing/RespectfulLanding.tsx,122,TODO,0,legacyguard,Fix missing translation key - onboarding:respectful.landing.understanding.${concern}.title
src/components/landing/RespectfulLanding.tsx,127,TODO,0,legacyguard,Fix missing translation key - onboarding:respectful.landing.understanding.${concern}.description
src/components/landing/RespectfulLanding.tsx,132,TODO,0,legacyguard,Fix missing translation key - onboarding:respectful.landing.understanding.${concern}.approach
src/components/landing/RespectfulLanding.tsx,147,TODO,0,legacyguard,Fix missing translation key - onboarding:respectful.landing.process.title
src/components/landing/RespectfulLanding.tsx,152,TODO,0,legacyguard,Fix missing translation key - onboarding:respectful.landing.process.subtitle
src/components/landing/RespectfulLanding.tsx,169,TODO,0,legacyguard,Fix missing translation key - onboarding:respectful.landing.process.${step.key}.title
src/components/landing/RespectfulLanding.tsx,174,TODO,0,legacyguard,Fix missing translation key - onboarding:respectful.landing.process.${step.key}.description
